13,14,15
4.357,13.224,42.948
4.443,13.781,42.394
4.409,14.133,43.618
4.32,14.301,42.944
4.75,13.951,44.158
4.716,14.031,41.381
4.674,14.236,43.286
4.617,14.617,46.628
4.377,13.554,44.76
4.467,13.375,49.39
4.612,13.9,50.011
4.644,17.173,44.865
4.679,16.424,44.996
4.762,14.367,46.49
4.457,14.46,49.828
4.596,17.14,46.784
4.773,13.933,49.404
4.323,13.91,51.16
9.106,20.618,53.168
5.32,17.488,52.842
4.438,15.217,49.551
4.568,13.676,47.262
4.587,14.037,54.539
8.173,17.596,49.519
6.64,15.324,55.6
5.065,15.633,51.402
6.924,14.907,47.015
4.429,14.698,48.686
4.455,13.982,47.136
4.413,16.693,44.327
