100,150,200,250,300,350,400,450,500
0,0.072,0.115,0.02,0.023,0,0.029,0.004,0
0,0.06,0.171,0.007,0.001,0.041,0,0.013,0.033
0,0.064,0.114,0,0.025,0.003,0.014,0,0.009
0,0.062,0.169,0.008,0,0,0,0.016,0.002
0,0.053,0.121,0,0.018,0,0.024,0.007,0
0,0.078,0.124,0,0,0.002,0,0.017,0.005
0,0.063,0.157,0,0.025,0.001,0,0.013,0.002
0,0.061,0.17,0,0,0.006,0.023,0.027,0.018
0,0.057,0.11,0.03,0.008,0.024,0,0.012,0.001
0,0.075,0.169,0.023,0.005,0,0.019,0.022,0
0,0.069,0.159,0,0.007,0.011,0,0.017,0.03
0,0.075,0.171,0,0.026,0.002,0.018,0.001,0.003
0,0.066,0.17,0.005,0,0.018,0.008,0.003,0.014
0,0.05,0.114,0.01,0.011,0.009,0,0.014,0.019
0,0.067,0.117,0.029,0.007,0.006,0.002,0.002,0
0,0.074,0.17,0,0.002,0.023,0.01,0.01,0.002
0,0.087,0.124,0.003,0.001,0.002,0,0.038,0.006
0,0.076,0.121,0,0.015,0.019,0.001,0.001,0
0,0.049,0.108,0,0.03,0,0.001,0.026,0
0,0.077,0.125,0.013,0.003,0.003,0.018,0.02,0.022
0,0.071,0.112,0.002,0,0.023,0.017,0.005,0.025
0,0.071,0.119,0.001,0.003,0.014,0.001,0.027,0.004
0,0.066,0.115,0.01,0.02,0.003,0,0.008,0.036
0,0.066,0.17,0,0.004,0,0,0,0.007
0,0.056,0.11,0.008,0.024,0.008,0.021,0.023,0.008
0,0.069,0.171,0.012,0,0.022,0,0.025,0.001
0,0.081,0.125,0.03,0.008,0.036,0.008,0.024,0.018
0,0.057,0.174,0,0.007,0.022,0,0,0.029
0,0.067,0.118,0.019,0.027,0,0,0,0.03
0,0.067,0.115,0.005,0.02,0,0.003,0,0.007
